Kinetic,Electron.,Nuclear,Total,CSDA,Projected,Detour
Energy,Stp. Pow.,Stp. Pow.,Stp. Pow.,Range,Range,Factor
MeV,MeV cm2/g,MeV cm2/g,MeV cm2/g,g/cm2,g/cm2,
2.00E+00,5.23E+02,6.52E-01,5.24E+02,4.01E-03,3.56E-03,0.8871
2.25E+00,4.98E+02,5.92E-01,4.98E+02,4.50E-03,4.04E-03,0.8978
2.50E+00,4.74E+02,5.43E-01,4.75E+02,5.01E-03,4.54E-03,0.9068
2.75E+00,4.54E+02,5.02E-01,4.54E+02,5.55E-03,5.08E-03,0.9146
3.00E+00,4.35E+02,4.68E-01,4.35E+02,6.11E-03,5.63E-03,0.9213
3.50E+00,4.03E+02,4.11E-01,4.03E+02,7.31E-03,6.81E-03,0.9324
4.00E+00,3.76E+02,3.68E-01,3.76E+02,8.59E-03,8.08E-03,0.9409
4.50E+00,3.53E+02,3.34E-01,3.54E+02,9.96E-03,9.44E-03,0.9477
5.00E+00,3.34E+02,3.05E-01,3.34E+02,1.14E-02,1.09E-02,0.9532
5.50E+00,3.17E+02,2.82E-01,3.17E+02,1.30E-02,1.24E-02,0.9577
6.00E+00,3.02E+02,2.62E-01,3.02E+02,1.46E-02,1.40E-02,0.9615
6.50E+00,2.89E+02,2.45E-01,2.89E+02,1.63E-02,1.57E-02,0.9646
7.00E+00,2.77E+02,2.30E-01,2.77E+02,1.80E-02,1.74E-02,0.9673
7.50E+00,2.66E+02,2.17E-01,2.66E+02,1.99E-02,1.93E-02,0.9696
8.00E+00,2.57E+02,2.05E-01,2.57E+02,2.18E-02,2.12E-02,0.9716
8.50E+00,2.48E+02,1.95E-01,2.48E+02,2.38E-02,2.31E-02,0.9734
9.00E+00,2.40E+02,1.85E-01,2.40E+02,2.58E-02,2.52E-02,0.975
9.50E+00,2.32E+02,1.77E-01,2.32E+02,2.79E-02,2.73E-02,0.9763
1.00E+01,2.25E+02,1.69E-01,2.25E+02,3.01E-02,2.95E-02,0.9776
1.25E+01,1.97E+02,1.40E-01,1.97E+02,4.20E-02,4.13E-02,0.9821
1.50E+01,1.76E+02,1.19E-01,1.76E+02,5.55E-02,5.46E-02,0.985
1.75E+01,1.60E+02,1.04E-01,1.60E+02,7.04E-02,6.95E-02,0.9869
2.00E+01,1.47E+02,9.29E-02,1.47E+02,8.67E-02,8.57E-02,0.9884
2.50E+01,1.27E+02,7.64E-02,1.27E+02,1.24E-01,1.22E-01,0.9903
2.75E+01,1.19E+02,7.03E-02,1.19E+02,1.44E-01,1.43E-01,0.9909
3.00E+01,1.12E+02,6.51E-02,1.12E+02,1.66E-01,1.64E-01,0.9915
3.50E+01,1.01E+02,5.69E-02,1.01E+02,2.13E-01,2.11E-01,0.9923
4.00E+01,9.21E+01,5.05E-02,9.21E+01,2.64E-01,2.63E-01,0.9929
4.50E+01,8.48E+01,4.55E-02,8.48E+01,3.21E-01,3.19E-01,0.9934
5.00E+01,7.87E+01,4.15E-02,7.88E+01,3.82E-01,3.80E-01,0.9938
5.50E+01,7.36E+01,3.81E-02,7.36E+01,4.48E-01,4.45E-01,0.9941
6.00E+01,6.91E+01,3.53E-02,6.91E+01,5.18E-01,5.15E-01,0.9943
6.50E+01,6.52E+01,3.28E-02,6.53E+01,5.93E-01,5.89E-01,0.9945
7.00E+01,6.18E+01,3.07E-02,6.18E+01,6.71E-01,6.68E-01,0.9947
7.50E+01,5.88E+01,2.89E-02,5.88E+01,7.54E-01,7.50E-01,0.9948
8.00E+01,5.61E+01,2.73E-02,5.61E+01,8.41E-01,8.37E-01,0.995
8.50E+01,5.36E+01,2.58E-02,5.37E+01,9.33E-01,9.28E-01,0.9951
9.00E+01,5.14E+01,2.45E-02,5.15E+01,1.03E+00,1.02E+00,0.9952
9.50E+01,4.94E+01,2.34E-02,4.94E+01,1.13E+00,1.12E+00,0.9953
1.00E+02,4.76E+01,2.23E-02,4.76E+01,1.23E+00,1.22E+00,0.9954
1.25E+02,4.03E+01,1.83E-02,4.04E+01,1.80E+00,1.80E+00,0.9957
1.50E+02,3.52E+01,1.55E-02,3.52E+01,2.47E+00,2.46E+00,0.9959
1.75E+02,3.14E+01,1.35E-02,3.14E+01,3.22E+00,3.21E+00,0.9961
2.00E+02,2.85E+01,1.19E-02,2.85E+01,4.06E+00,4.04E+00,0.9962
2.25E+02,2.61E+01,1.07E-02,2.61E+01,4.97E+00,4.96E+00,0.9963
2.50E+02,2.42E+01,9.71E-03,2.42E+01,5.97E+00,5.95E+00,0.9964
2.75E+02,2.26E+01,8.90E-03,2.26E+01,7.04E+00,7.02E+00,0.9965
3.00E+02,2.12E+01,8.21E-03,2.12E+01,8.18E+00,8.16E+00,0.9965
3.50E+02,1.90E+01,7.12E-03,1.90E+01,1.07E+01,1.07E+01,0.9967
4.00E+02,1.73E+01,6.29E-03,1.73E+01,1.35E+01,1.34E+01,0.9968
